,Prix_EUR_MWh,Heure,JourSemaine,Mois,Date,Trimestre
2025-05-01 14:00:00,-118.01,14,Thursday,May,2025-05-01,2
2025-04-06 14:00:00,-115.46,14,Sunday,April,2025-04-06,2
2025-05-10 14:00:00,-111.18,14,Saturday,May,2025-05-10,2
2025-05-11 15:00:00,-109.84,15,Sunday,May,2025-05-11,2
2025-05-01 13:00:00,-109.55,13,Thursday,May,2025-05-01,2
2025-05-11 14:00:00,-106.77,14,Sunday,May,2025-05-11,2
2025-04-06 13:00:00,-106.48,13,Sunday,April,2025-04-06,2
2025-05-10 13:00:00,-94.11,13,Saturday,May,2025-05-10,2
2025-06-22 13:00:00,-78.05,13,Sunday,June,2025-06-22,2
2024-07-14 14:00:00,-74.02,14,Sunday,July,2024-07-14,3
2024-07-14 13:00:00,-73.83,13,Sunday,July,2024-07-14,3
2025-05-11 13:00:00,-72.33,13,Sunday,May,2025-05-11,2
2025-04-06 15:00:00,-70.55,15,Sunday,April,2025-04-06,2
2025-06-22 14:00:00,-64.35,14,Sunday,June,2025-06-22,2
2025-04-06 12:00:00,-59.82,12,Sunday,April,2025-04-06,2
2024-08-11 13:00:00,-59.67,13,Sunday,August,2024-08-11,3
2024-07-14 12:00:00,-59.43,12,Sunday,July,2024-07-14,3
2025-04-27 14:00:00,-57.54,14,Sunday,April,2025-04-27,2
2024-07-06 15:00:00,-54.63,15,Saturday,July,2024-07-06,3
2024-07-14 15:00:00,-51.43,15,Sunday,July,2024-07-14,3
2025-06-22 12:00:00,-51.14,12,Sunday,June,2025-06-22,2
2024-08-11 14:00:00,-50.03,14,Sunday,August,2024-08-11,3
2025-06-08 14:00:00,-50.0,14,Sunday,June,2025-06-08,2
2025-05-01 15:00:00,-49.99,15,Thursday,May,2025-05-01,2
2025-04-27 15:00:00,-49.8,15,Sunday,April,2025-04-27,2
2025-05-10 15:00:00,-49.36,15,Saturday,May,2025-05-10,2
2024-07-06 14:00:00,-48.08,14,Saturday,July,2024-07-06,3
2025-06-08 15:00:00,-48.01,15,Sunday,June,2025-06-08,2
2025-05-01 12:00:00,-47.68,12,Thursday,May,2025-05-01,2
2024-07-06 16:00:00,-45.93,16,Saturday,July,2024-07-06,3
