,Date,Heure,Mois,Jours,Prix
0,2024-07-01,0,July,Monday,73.37
1,2024-07-01,1,July,Monday,67.3
2,2024-07-01,2,July,Monday,52.95
3,2024-07-01,3,July,Monday,46.05
4,2024-07-01,4,July,Monday,45.83
5,2024-07-01,5,July,Monday,51.9
6,2024-07-01,6,July,Monday,59.26
7,2024-07-01,7,July,Monday,87.57
8,2024-07-01,8,July,Monday,71.18
9,2024-07-01,9,July,Monday,50.03
10,2024-07-01,10,July,Monday,44.52
11,2024-07-01,11,July,Monday,40.15
12,2024-07-01,12,July,Monday,39.71
13,2024-07-01,13,July,Monday,35.0
14,2024-07-01,14,July,Monday,21.17
15,2024-07-01,15,July,Monday,15.02
16,2024-07-01,16,July,Monday,10.15
17,2024-07-01,17,July,Monday,21.17
18,2024-07-01,18,July,Monday,39.65
19,2024-07-01,19,July,Monday,49.28
20,2024-07-01,20,July,Monday,71.18
21,2024-07-01,21,July,Monday,80.79
22,2024-07-01,22,July,Monday,99.26
23,2024-07-01,23,July,Monday,87.46
24,2024-07-02,0,July,Tuesday,65.53
25,2024-07-02,1,July,Tuesday,49.9
26,2024-07-02,2,July,Tuesday,34.63
27,2024-07-02,3,July,Tuesday,37.52
28,2024-07-02,4,July,Tuesday,35.15
29,2024-07-02,5,July,Tuesday,41.07
30,2024-07-02,6,July,Tuesday,52.97
31,2024-07-02,7,July,Tuesday,81.82
32,2024-07-02,8,July,Tuesday,92.99
33,2024-07-02,9,July,Tuesday,51.2
34,2024-07-02,10,July,Tuesday,48.63
35,2024-07-02,11,July,Tuesday,47.16
36,2024-07-02,12,July,Tuesday,26.79
37,2024-07-02,13,July,Tuesday,24.99
38,2024-07-02,14,July,Tuesday,17.95
39,2024-07-02,15,July,Tuesday,4.0
40,2024-07-02,16,July,Tuesday,18.01
41,2024-07-02,17,July,Tuesday,20.32
42,2024-07-02,18,July,Tuesday,49.57
43,2024-07-02,19,July,Tuesday,67.87
44,2024-07-02,20,July,Tuesday,74.64
45,2024-07-02,21,July,Tuesday,110.41
46,2024-07-02,22,July,Tuesday,109.45
47,2024-07-02,23,July,Tuesday,89.99
48,2024-07-03,0,July,Wednesday,78.97
49,2024-07-03,1,July,Wednesday,69.53
50,2024-07-03,2,July,Wednesday,54.78
51,2024-07-03,3,July,Wednesday,46.25
52,2024-07-03,4,July,Wednesday,33.0
