Latitude (decimal degrees): 48.960
Longitude (decimal degrees): 2.880
Elevation (m): 65
Radiation database: PVGIS-SARAH2
Nominal power of the PV system (kWp): 5000
Mounting type: Fixed
Slope of modules (deg): 35
Azimuth of modules (deg): 0
PV System loss (%): 14.0
Time,P,G(i),H_sun,T2m,WS10m
20200101:0010,0.00,0.0,0.0,2.5,3.2
20200101:0110,0.00,0.0,0.0,2.4,3.1
20200101:0210,0.00,0.0,0.0,2.3,3.0
20200101:0310,0.00,0.0,0.0,2.2,2.9
20200101:0410,0.00,0.0,0.0,2.1,2.8
20200101:0510,0.00,0.0,0.0,2.0,2.7
20200101:0610,0.00,0.0,0.0,1.9,2.6
20200101:0710,0.00,0.0,0.0,1.8,2.5
20200101:0810,15450.00,10.7,1.5,1.8,2.5
20200101:0910,130200.00,88.1,7.0,2.2,2.6
20200101:1010,315700.00,211.5,11.5,2.8,2.8
20200101:1110,480350.00,320.3,14.5,3.5,3.0
20200101:1210,590500.00,392.5,16.0,4.2,3.2
20200101:1310,620100.00,411.8,15.8,4.8,3.4
20200101:1410,545750.00,363.0,13.8,5.3,3.5
20200101:1510,360400.00,240.5,10.2,5.5,3.6
20200101:1610,120150.00,81.1,5.5,5.4,3.5
20200101:1710,0.00,0.0,0.0,5.2,3.4
... (données horaires pour toute l'année) ...
20201231:2310,0.00,0.0,0.0,4.5,2.1

Description des colonnes:
Time: Date et heure (UTC)
P: Puissance produite par le système PV (W)
G(i): Irradiation globale sur le plan des modules (W/m2)
H_sun: Elévation du soleil (degrés)
T2m: Température de l'air à 2m (°C)
WS10m: Vitesse du vent à 10m (m/s) 
