prevision_j,heure,fioul_tac,nucleaire,ech_comm_angleterre,date,gaz_tac,bioenergies_biogaz,bioenergies_biomasse,destockage_batterie,charbon,prevision_j1,hydraulique_step_turbinage,stockage_batterie,pompage,gaz_ccg,hydraulique_lacs,eolien_terrestre,ech_comm_allemagne_belgique,fioul,solaire,ech_comm_italie,bioenergies,gaz_autres,date_heure,fioul_cogen,gaz_cogen,hydraulique_fil_eau_eclusee,hydraulique,ech_comm_suisse,eolien_offshore,perimetre,ech_comm_espagne,taux_co2,eolien,ech_physiques,bioenergies_dechets,nature,consommation,gaz,fioul_autres,disponible_0.5MW_max_10EUR,disponible_0.5MW_max_15EUR,disponible_0.5MW_max_20EUR,disponible_0.5MW_max_25EUR,disponible_0.5MW_max_30EUR,disponible_0.5MW_max_35EUR,disponible_0.5MW_max_40EUR,disponible_0.5MW_max_50EUR,disponible_1MW_max_10EUR,disponible_1MW_max_15EUR,disponible_1MW_max_20EUR,disponible_1MW_max_25EUR,disponible_1MW_max_30EUR,disponible_1MW_max_35EUR,disponible_1MW_max_40EUR,disponible_1MW_max_50EUR,disponible_2MW_max_10EUR,disponible_2MW_max_15EUR,disponible_2MW_max_20EUR,disponible_2MW_max_25EUR,disponible_2MW_max_30EUR,disponible_2MW_max_35EUR,disponible_2MW_max_40EUR,disponible_2MW_max_50EUR,disponible_3MW_max_10EUR,disponible_3MW_max_15EUR,disponible_3MW_max_20EUR,disponible_3MW_max_25EUR,disponible_3MW_max_30EUR,disponible_3MW_max_35EUR,disponible_3MW_max_40EUR,disponible_3MW_max_50EUR,disponible_4MW_max_10EUR,disponible_4MW_max_15EUR,disponible_4MW_max_20EUR,disponible_4MW_max_25EUR,disponible_4MW_max_30EUR,disponible_4MW_max_35EUR,disponible_4MW_max_40EUR,disponible_4MW_max_50EUR,disponible_5MW_max_10EUR,disponible_5MW_max_15EUR,disponible_5MW_max_20EUR,disponible_5MW_max_25EUR,disponible_5MW_max_30EUR,disponible_5MW_max_35EUR,disponible_5MW_max_40EUR,disponible_5MW_max_50EUR,jour_semaine,mois,classification_creneau
63650,0,0,47071,2514,2025-01-01,0,250,342,2,0,63350,198,-10,-2390,453,747,9587,6662,108,0,-3111,894,0,2025-01-01 00:15:00+01:00,110,1642,4397,5342,-3200,1356,France,-2341,21,10944,-93,302,Données temps réel,63954,2094,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,Favorable
62200,0,1,45084,2514,2025-01-01,0,252,363,1,0,61900,131,-10,-2390,393,688,9736,6451,111,0,-3111,914,0,2025-01-01 00:45:00+01:00,110,1557,4412,5230,-3200,1375,France,-2341,21,11111,-470,299,Données temps réel,61522,1949,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,Favorable
61300,1,0,44609,2483,2025-01-01,0,252,361,1,0,61100,126,-11,-2398,210,688,9877,5971,110,0,-3111,911,0,2025-01-01 01:00:00+01:00,110,1555,4411,5224,-3200,1362,France,-2341,20,11239,-324,298,Données temps réel,61115,1764,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,Favorable
61850,1,1,44379,2483,2025-01-01,0,252,361,1,0,61450,246,-17,-2390,261,750,10092,5973,111,0,-3111,906,0,2025-01-01 01:45:00+01:00,110,1556,4265,5261,-3200,1378,France,-2341,20,11471,-591,293,Données temps réel,60939,1816,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,Favorable
60300,2,1,44276,2283,2025-01-01,0,252,359,13,0,59700,35,-2,-2852,153,685,10172,5413,111,0,-3111,908,0,2025-01-01 02:30:00+01:00,110,1488,4251,4970,-3200,1387,France,-2341,19,11559,-558,298,Données temps réel,60057,1640,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,Très favorable
58000,9,1,42230,1558,2025-01-01,0,252,359,1,0,54900,104,-41,-3110,207,262,13439,2933,111,1562,-3409,911,0,2025-01-01 09:30:00+01:00,110,1670,3733,4100,-3200,1440,France,-2300,20,14879,-4707,300,Données temps réel,57802,1876,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,Défavorable
58850,10,1,42368,253,2025-01-01,0,252,360,4,0,56050,0,-2,-3049,209,227,13535,3176,111,3330,-3399,918,0,2025-01-01 10:15:00+01:00,110,1663,3546,3773,-3200,1440,France,-2300,20,14975,-5623,306,Données temps réel,58667,1871,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,Défavorable
59000,10,1,42278,253,2025-01-01,0,252,361,4,0,56500,0,-2,-3118,149,203,13517,3030,111,3942,-3399,917,0,2025-01-01 10:30:00+01:00,110,1665,3536,3739,-3200,1432,France,-2300,19,14949,-5600,304,Données temps réel,59023,1813,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,Défavorable
57750,14,0,42531,-2514,2025-01-01,0,252,360,1,0,57400,48,-18,-2481,135,314,14468,123,110,6367,-3463,907,0,2025-01-01 14:15:00+01:00,110,1643,3684,4045,-3187,1437,France,-2400,18,15905,-11422,295,Données temps réel,57715,1777,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,Modéré
55450,15,0,42918,-2514,2025-01-01,0,252,356,45,0,54900,0,-1,-3089,190,167,14502,1716,110,3121,-3497,901,0,2025-01-01 15:45:00+01:00,110,1640,3676,3843,-3200,1437,France,-2450,19,15939,-10433,294,Données temps réel,55175,1829,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,Neutre
59550,17,1,46653,-2514,2025-01-01,0,252,356,1,0,59050,58,-48,-2369,438,650,15410,2367,111,301,-3497,911,0,2025-01-01 17:45:00+01:00,110,1664,3901,4610,-3200,1436,France,-2450,20,16846,-9320,303,Données temps réel,59796,2101,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,Neutre
61700,18,1,47602,-2514,2025-01-01,0,252,354,1,0,61300,480,-60,-2321,333,596,15990,2937,111,0,-3484,906,0,2025-01-01 18:30:00+01:00,110,1663,4070,5146,-3200,1438,France,-2700,19,17428,-9193,300,Données temps réel,61613,1995,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,Défavorable
